#exemplar 1:
Alda Barroso; imperador; imperatriz; imperador; princesa; príncipe; princesa
#cluster 1
Lisa Vasconcelos; rei; rainha; rei; rainha; arquiduque; arquiduquesa
Ramón Vieira; rei; princesa; rei; arquiduquesa; rei; rainha
Jon Rufino; rei; rainha; rei; rainha; rei; rainha

#exemplar 2:
Esmeraldinha Monteigo; arquiduque; tiktokStar; duque; duquesa; arquiduque; baronesa
#cluster 2
Francisquinha Capuleto; duque; condessa; arquiduque; condessa; visconde; viscondessa
Tina Cruz; regente; tiktokStar; plebeu; apresentadoraFamaShow; plebeu; plebeia
Ronelka Albarca; rei; rainha; escudeiro; escudeira; tiktokStar; youtubeInfluencer
Mirela Laranja; conde; viscondessa; duque; baronesa; visconde; baronesa
Ygor Bencatel; youtubeInfluencer; princesa; plebeu; plebeia; rei; rainha

#exemplar 3:
Adália Pavão; apresentadorFamaShow; apresentadoraFamaShow; plebeu; plebeia; plebeu; plebeia
#cluster 3
Armandinho de Alfama; youtubeInfluencer; tiktokStar; plebeu; plebeia; plebeu; plebeia
Kate Liberato; plebeu; youtubeInfluencer; plebeu; plebeia; youtubeInfluencer; plebeia
Cristiano Ronaldo; plebeu; plebeia; plebeu; plebeia; plebeu; plebeia
Manuela Poças; barão; princesa; visconde; plebeia; plebeu; plebeia

#exemplar 4:
Kevin Gouveia; príncipe; tiktokStar; rei; rainha; plebeu; plebeia
#cluster 4
Stephanie Grimaldi; príncipe; plebeia; príncipe; princesa; plebeu; plebeia
Shakira Quintais; plebeu; youtubeInfluencer; youtubeInfluencer; tiktokStar; vencedorFestivalRTP; apresentadoraFamaShow
Nildo Soverosa; imperador; tiktokStar; imperador; imperatriz; plebeu; plebeia
Pettra Póvoa; príncipe; regente; rei; tiktokStar; barão; escudeira
